date,ticker,side,quantity,reference_price,executed_price,notional,transaction_cost,slippage_cost,cash_after
2015-03-02,AAPL,BUY,349,28.653139114379883,28.658869742202757,10001.945540028762,5.000972770014381,1.9999891101831544,89993.05348720122
2015-03-02,ADBE,BUY,125,79.79000091552734,79.80595891571045,9975.744864463806,4.987872432231903,1.99475002288807,80012.32075030518
2015-03-02,AMD,BUY,3115,3.2100000381469727,3.210642038154602,10001.149948851586,5.000574974425793,1.9998300237658428,70006.17022647917
2015-03-02,AMZN,BUY,518,19.283000946044922,19.28685754623413,9990.59220894928,4.99529610447464,1.9977188980104188,60010.58272142541
2015-03-02,AVGO,BUY,1029,9.70981216430664,9.711754126739502,9993.394996414947,4.996697498207474,1.9982793434139001,50012.19102751226
2015-03-02,CRM,BUY,148,67.29574584960938,67.3092049987793,9961.762339819335,4.980881169909668,1.9919540771479092,40045.447806523014
2015-03-02,DIS,BUY,104,95.68704986572266,95.7061872756958,9953.443476672363,4.976721738336181,1.9902906372066127,30087.027608112316
2015-03-02,JPM,BUY,219,45.53601837158203,45.54512557525635,9974.38250098114,4.987191250490571,1.994477604675751,20107.657915880685
2015-03-02,MCD,BUY,132,75.499755859375,75.51485581054688,9967.960966992188,4.983980483496095,1.993193554687707,10134.712968405001
2015-03-02,NVDA,BUY,18392,0.5437031388282776,0.5438118794560433,10001.788086955548,5.000894043477775,1.9999576258661813,127.92398740597491
2015-04-01,AAPL,SELL,349,27.57883644104004,27.57332067375183,9623.08891513939,4.8115444575696955,1.9250027835849082,9746.201358087794
2015-04-01,ADBE,SELL,125,75.06999969482422,75.05498569488526,9381.873211860657,4.690936605930329,1.8767499923697528,19123.38363334252
2015-04-01,AMD,SELL,3115,2.690000057220459,2.689462057209015,8377.674308206082,4.188837154103042,1.6758700356476997,27496.8691043945
2015-04-01,AMZN,SELL,518,18.51300048828125,18.509297888183593,9587.816306079101,4.79390815303955,1.917946850586553,37079.89150232056
2015-04-01,AVGO,SELL,1029,9.482595443725586,9.48069892463684,9755.639193451309,4.877819596725654,1.951518142319287,46830.65287617515
2015-04-01,CRM,SELL,148,64.95621490478516,64.9432236618042,9611.597101947022,4.805798550973511,1.9227039611819805,56437.4441795712
2015-04-01,DIS,SELL,104,95.28042602539062,95.26136994018555,9907.182473779296,4.953591236889648,1.9818328613282574,66339.67306211361
2015-04-01,JPM,SELL,219,44.48807907104492,44.479181455230716,9740.940738695526,4.870470369347763,1.9485778633111153,76075.74333043979
2015-04-01,MCD,SELL,132,72.69873046875,72.68419072265625,9594.313175390625,4.797156587695313,1.9192464843744688,85665.25934924271
2015-04-01,NVDA,SELL,18392,0.5054513812065125,0.5053502909302712,9294.402550789548,4.647201275394774,1.8592523606295845,94955.01469875686
2015-04-01,ACN,BUY,137,76.61873626708984,76.63406001434326,10498.866221965027,5.249433110982514,2.0993533737183583,84450.89904368085
2015-04-01,AMGN,BUY,93,112.70429229736328,112.72683315582275,10483.595483491516,5.241797741745758,2.0962998367302106,73962.06176244759
2015-04-01,COST,BUY,84,124.85282897949219,124.87779954528808,10489.7351618042,5.2448675809021,2.0975275268553446,63467.081733062485
2015-04-01,IBM,BUY,110,95.11773681640625,95.13676036376953,10465.043640014648,5.2325218200073245,2.092590209960292,52996.80557122783
2015-04-01,LLY,BUY,179,58.817710876464844,58.82947441864014,10530.475920936586,5.265237960468293,2.105674049377818,42461.06441233077
2015-04-01,META,BUY,130,80.95906066894531,80.9752524810791,10526.782822540283,5.263391411270142,2.104935577391842,31929.01819837922
2015-04-01,NKE,BUY,246,42.80581283569336,42.8143739982605,10532.336003572083,5.266168001786042,2.1060459915165524,21391.416026805353
2015-04-01,TMO,BUY,82,127.56952667236328,127.59504057769774,10462.793327371215,5.231396663685607,2.0921402374260083,10923.391302770453
2015-04-01,UNH,BUY,108,97.46503448486328,97.48452749176025,10528.328969110107,5.264164484555054,2.105244744872266,389.79816917579046
2015-05-01,ACN,SELL,137,77.27267456054688,77.25722002563477,10584.239143511963,5.292119571755982,2.1172712829589813,10968.745193115998
2015-05-01,AMGN,SELL,93,115.04307556152344,115.02006694641113,10696.866226016235,5.3484331130081175,2.1398012054442006,21660.262986019225
2015-05-01,COST,SELL,84,121.15287780761719,121.12864723205567,10174.806367492676,5.087403183746338,2.0353683471674913,31829.981950328154
2015-05-01,IBM,SELL,110,103.77619171142578,103.75543647308349,11413.098012039183,5.706549006019592,2.283076217651825,43237.37341336132
2015-05-01,LLY,SELL,179,60.125152587890625,60.11312755737305,10760.249832769776,5.380124916384888,2.152480462646338,53992.243121214706
2015-05-01,META,SELL,130,78.30237579345703,78.28671531829835,10177.272991378786,5.088636495689393,2.035861770628742,64164.4274760978
2015-05-01,NKE,SELL,246,43.334693908691406,43.32602696990967,10658.20263459778,5.32910131729889,2.1320669403072117,74817.30100937828
2015-05-01,TMO,SELL,82,123.37520599365234,123.35053095245361,10114.743538101196,5.057371769050598,2.02335337829615,84926.98717571043
2015-05-01,UNH,SELL,108,93.93824005126953,93.91945240325929,10143.300859552002,5.071650429776001,2.0290659851065698,95065.21638483266
2015-05-01,AMZN,BUY,449,21.14349937438965,21.147728074264524,9495.329905344772,4.747664952672386,1.8986862438192027,85565.13881453521
2015-05-01,CAT,BUY,142,66.60205078125,66.61537119140625,9459.382709179688,4.729691354589844,1.891498242188078,76101.02641400092
2015-05-01,CRM,BUY,131,72.1124267578125,72.12684924316406,9448.617250854491,4.724308625427246,1.8893455810543003,66647.68485452101
2015-05-01,DIS,BUY,95,99.87093353271484,99.89090771942138,9489.63623334503,4.744818116672516,1.897547737120746,57153.3038030593
2015-05-01,GE,BUY,84,112.51329803466797,112.5358006942749,9453.007258319092,4.726503629159546,1.8902234069819883,47695.57004111105
2015-05-01,JPM,BUY,201,47.20412063598633,47.213561460113525,9489.925853482819,4.744962926741409,1.8976056495664722,38200.89922470149
2015-05-01,MSFT,BUY,229,41.509864807128906,41.51816678009033,9507.660192640686,4.753830096320343,1.9011518081666523,28688.485201964482
2015-05-01,NFLX,BUY,1195,7.957571029663086,7.959162543869018,9511.199239923477,4.755599619961738,1.901859476089216,19172.530362421043
2015-05-01,NVDA,BUY,17381,0.5473116040229797,0.5474210663437843,9514.725554121314,4.757362777060657,1.9025645979039565,9653.047445522669
2015-05-01,TSLA,BUY,631,15.0686674118042,15.07168114528656,9510.230802675818,4.7551154013379096,1.9016658273693725,138.06152744551218
2015-06-01,CAT,SELL,142,65.19940185546875,65.18636197509765,9256.463400463866,4.628231700231933,1.8516630126956386,9389.896696209147
2015-06-01,CRM,SELL,131,71.8568344116211,71.84246304473876,9411.362658860779,4.70568132943039,1.8826490615851696,18796.553673740495
2015-06-01,DIS,SELL,95,100.26853942871094,100.2484857208252,9523.606143478393,4.761803071739196,1.9051022491449743,28315.398014147147
2015-06-01,GE,SELL,84,112.38972473144531,112.36724678649902,9438.848730065918,4.719424365032959,1.888147375488245,37749.52731984803
2015-06-01,JPM,SELL,3,49.037071228027344,49.02726381378174,147.08179144134522,0.07354089572067261,0.029422242736821147,37896.53557039365
2015-06-01,MSFT,SELL,229,40.55183792114258,40.54372755355835,9284.513609764861,4.642256804882431,1.8572741767886711,47176.40692335363
2015-06-01,NFLX,SELL,104,8.900285720825195,8.89850566368103,925.4445890228271,0.46272229451141356,0.18512594299316731,48101.388790081946
2015-06-01,NVDA,SELL,17381,0.5409025549888611,0.5407943744778633,9399.547022799741,4.69977351139987,1.8802854616529858,57496.236039370284
2015-06-01,TSLA,SELL,47,16.6299991607666,16.62667316093445,781.4536385639191,0.3907268192819595,0.1563219921112058,58277.29895111492
2015-06-01,ABBV,BUY,228,42.430843353271484,42.439329521942135,9676.167131002807,4.838083565501403,1.934846456908275,48596.29373654661
2015-06-01,ACN,BUY,121,79.61502075195312,79.63094375610352,9635.344194488525,4.817672097244263,1.926683502197747,38956.131869960846
2015-06-01,AMZN,BUY,1,21.54599952697754,21.550308726882935,21.550308726882935,0.010775154363441466,0.004309199905396355,38934.570786079596
2015-06-01,AVGO,BUY,877,11.066930770874023,11.069144157028198,9707.639425713729,4.853819712856865,1.941139657211174,29222.07754065301
2015-06-01,GS,BUY,58,166.58511352539062,166.6184305480957,9663.86897178955,4.831934485894775,1.932387316893653,19553.376634377564
2015-06-01,LLY,BUY,148,65.40938568115234,65.42246755828857,9682.525198626709,4.841262599313354,1.9361178161620387,9866.010173151542
2015-06-01,UNH,BUY,97,99.46497344970703,99.48486644439697,9650.032045106505,4.825016022553252,1.9296204849241576,211.1531120224845
2015-07-01,ACN,SELL,121,81.16278839111328,81.14655583343506,9818.733255845642,4.909366627922821,1.9641394790648974,10024.977001240204
2015-07-01,AVGO,SELL,877,10.256482124328613,10.254430827903748,8993.135836071588,4.496567918035794,1.7989869646065184,19013.61626939376
2015-07-01,JPM,SELL,2,50.84397888183594,50.83381008605957,101.66762017211914,0.05083381008605957,0.020337591552731737,19115.23305575579
2015-07-01,LLY,SELL,7,70.25299072265625,70.23894012451171,491.672580871582,0.245836290435791,0.09835418701175058,19606.659800336936
2015-07-01,NFLX,SELL,27,9.363571166992188,9.36169845275879,252.76585822448732,0.12638292911224366,0.05056328430175405,19859.29927563231
2015-07-01,TSLA,SELL,29,17.94333267211914,17.939744005584718,520.2525761619568,0.2601262880809784,0.10407132949826448,20379.291725506188
2015-07-01,UNH,SELL,97,102.8196792602539,102.79911532440185,9971.51418646698,4.98575709323349,1.9947017776491265,30345.820154879933
2015-07-01,ABBV,BUY,1,43.4324951171875,43.44118161621093,43.44118161621093,0.021720590808105466,0.008686499023433214,30302.357252672915
2015-07-01,AMZN,BUY,5,21.86949920654297,21.873873106384277,109.36936553192139,0.05468468276596069,0.021869499206541576,30192.93320245823
2015-07-01,BAC,BUY,732,13.599960327148438,13.602680319213867,9957.161993664551,4.978580996832275,1.9910341918945562,20230.792627796844
2015-07-01,DIS,BUY,95,104.64183044433594,104.6627588104248,9942.962086990356,4.971481043495178,1.9881947784423915,10282.859059762994
2015-07-01,GS,BUY,1,168.29257202148438,168.32623053588867,168.32623053588867,0.08416311526794434,0.03365851440429424,10114.448666111837
2015-07-01,NKE,BUY,211,47.1826057434082,47.19204226455688,9957.520917821503,4.9787604589107515,1.9911059623712433,151.94898783142344
2015-08-03,ABBV,SELL,229,44.53399658203125,44.52508978271484,10196.2455602417,5.09812278012085,2.0396570434570833,10343.096425293003
2015-08-03,AMZN,SELL,64,26.75149917602539,26.746148876190187,1711.753528076172,0.855876764038086,0.3424191894530395,12053.994076605137
2015-08-03,BAC,SELL,732,14.034337997436523,14.031531129837036,10271.08078704071,5.135540393520355,2.0546270828244886,22319.93932325233
2015-08-03,GS,SELL,59,164.0841064453125,164.05128962402344,9679.026087817383,4.839513043908692,1.936192456054556,31994.125898025803
2015-08-03,JPM,SELL,196,51.187591552734375,51.17735403442383,10030.76139074707,5.015380695373534,2.0065535888671207,42019.8719080775
2015-08-03,LLY,SELL,141,69.66513061523438,69.65119758911133,9820.818860064697,4.910409430032349,1.9645566833488175,51835.78035871216
