date,cash,holdings,total_value,daily_return,cumulative_return
2018-03-21,326.0520142835858,221845.70811986923,222171.7601341528,-0.002800887167352495,1.221717601341528
2018-03-22,326.0520142835858,212349.30934000015,212675.36135428373,-0.04274350067774102,1.1267536135428373
2018-03-23,326.0520142835858,207098.1467847824,207424.19879906598,-0.024690977468095787,1.0742419879906597
2018-03-26,326.0520142835858,215085.00332307816,215411.05533736173,0.03850494100754709,1.1541105533736173
2018-03-27,326.0520142835858,206318.5541152954,206644.60612957898,-0.04069637555998851,1.0664460612957898
2018-03-28,326.0520142835858,203058.70266389847,203384.75467818204,-0.015775158676790246,1.0338475467818204
2018-03-29,326.0520142835858,207641.01679182053,207967.0688061041,0.022530273398184253,1.0796706880610412
2018-04-02,392.73176714865986,200622.83810520172,201015.56987235037,-0.0334259600506025,1.0101556987235036
2018-04-03,392.73176714865986,204131.5228805542,204524.25464770285,0.017454791077032406,1.0452425464770285
2018-04-04,392.73176714865986,207424.8227930069,207817.55456015555,0.016102246250086383,1.0781755456015554
2018-04-05,392.73176714865986,208968.7407503128,209361.47251746146,0.007429198946035109,1.0936147251746147
2018-04-06,392.73176714865986,203535.44287776947,203928.17464491812,-0.025951756104935608,1.039281746449181
2018-04-09,392.73176714865986,204742.5355014801,205135.26726862876,0.005919204768112252,1.0513526726862876
2018-04-10,392.73176714865986,209998.69040584564,210391.4221729943,0.025622873016186487,1.103914221729943
2018-04-11,392.73176714865986,209681.08306407928,210073.81483122794,-0.0015096021429296114,1.1007381483122796
2018-04-12,392.73176714865986,213280.1874704361,213672.91923758475,0.017132570326522156,1.1367291923758476
2018-04-13,392.73176714865986,212291.09061145782,212683.82237860648,-0.004629023006319732,1.1268382237860646
2018-04-16,392.73176714865986,213047.13012123108,213439.86188837973,0.003554757956284016,1.1343986188837971
2018-04-17,392.73176714865986,219659.68428897858,220052.41605612723,0.030980877279641383,1.2005241605612724
2018-04-18,392.73176714865986,219775.15673542023,220167.88850256888,0.0005247497324101236,1.201678885025689
2018-04-19,392.73176714865986,218660.02248096466,219052.7542481133,-0.005064926870307684,1.1905275424811332
2018-04-20,392.73176714865986,216629.961892128,217022.69365927664,-0.009267450645871755,1.1702269365927664
2018-04-23,392.73176714865986,215348.4264421463,215741.15820929495,-0.005905075770526014,1.1574115820929496
2018-04-24,392.73176714865986,210983.83175563812,211376.56352278678,-0.020230700172073734,1.1137656352278675
2018-04-25,392.73176714865986,209862.01910305023,210254.75087019888,-0.005307176131032931,1.102547508701989
2018-04-26,392.73176714865986,215563.6995639801,215956.43133112876,0.027117962554148445,1.1595643133112876
2018-04-27,392.73176714865986,216314.85129451752,216707.58306166617,0.0034782558959109977,1.1670758306166618
2018-04-30,392.73176714865986,215612.09863567352,216004.83040282218,-0.003242861412210085,1.160048304028222
2018-05-01,464.1594910998283,217394.09051322937,217858.2500043292,0.008580454418776862,1.1785825000432921
2018-05-02,464.1594910998283,216575.84626579285,217040.00575689267,-0.0037558561469224205,1.1704000575689268
2018-05-03,464.1594910998283,217386.22312355042,217850.38261465024,0.0037337672146271483,1.1785038261465024
2018-05-04,464.1594910998283,220155.82773590088,220619.9872270007,0.012713333706874996,1.2061998722700071
2018-05-07,464.1594910998283,222057.26945877075,222521.42894987058,0.008618628560219443,1.2252142894987057
2018-05-08,464.1594910998283,223122.74505996704,223586.90455106687,0.004788193237049265,1.2358690455106687
2018-05-09,464.1594910998283,224908.8722190857,225373.03171018552,0.007988514187380336,1.253730317101855
2018-05-10,464.1594910998283,225813.85820388794,226278.01769498776,0.0040155025556296575,1.2627801769498777
2018-05-11,464.1594910998283,225904.98041534424,226369.13990644406,0.0004027002374535904,1.2636913990644407
2018-05-14,464.1594910998283,225000.02096557617,225464.180456676,-0.003997715634481258,1.2546418045667598
2018-05-15,464.1594910998283,224583.08686065674,225047.24635175656,-0.0018492254693182053,1.2504724635175655
2018-05-16,464.1594910998283,225789.5507736206,226253.71026472043,0.005360936125732962,1.262537102647204
2018-05-17,464.1594910998283,224117.61778259277,224581.7772736926,-0.007389637893989165,1.2458177727369262
2018-05-18,464.1594910998283,223689.56393432617,224153.723425426,-0.0019060043671528248,1.24153723425426
2018-05-21,464.1594910998283,225213.5259590149,225677.68545011472,0.00679873615927562,1.256776854501147
2018-05-22,464.1594910998283,224786.43939590454,225250.59888700437,-0.0018924625279567175,1.2525059888700438
2018-05-23,464.1594910998283,226905.2999420166,227369.45943311643,0.009406681076905787,1.2736945943311642
2018-05-24,464.1594910998283,227422.17811584473,227886.33760694455,0.002273296401006597,1.2788633760694457
2018-05-25,464.1594910998283,225996.2904396057,226460.44993070554,-0.006257012558156805,1.2646044993070555
2018-05-29,464.1594910998283,224467.13563919067,224931.2951302905,-0.0067524143879558185,1.249312951302905
2018-05-30,464.1594910998283,227719.69275283813,228183.85224393796,0.01446022489562182,1.2818385224393798
2018-05-31,464.1594910998283,227074.63693237305,227538.79642347287,-0.00282691265890056,1.2753879642347288
2018-06-01,420.2964003275156,229834.7303981781,230255.02679850563,0.01193743844006967,1.3025502679850565
2018-06-04,420.2964003275156,233119.14132499695,233539.43772532447,0.014264231154844653,1.3353943772532446
2018-06-05,420.2964003275156,234154.15136528015,234574.44776560768,0.004431842648779938,1.3457444776560767
2018-06-06,420.2964003275156,236953.75461006165,237374.05101038917,0.011934817587544444,1.3737405101038918
2018-06-07,420.2964003275156,234276.37856197357,234696.6749623011,-0.011279143767786493,1.3469667496230109
2018-06-08,420.2964003275156,235429.15028381348,235849.446684141,0.004911751400078712,1.3584944668414098
2018-06-11,420.2964003275156,236380.59629058838,236800.8926909159,0.004034124396522731,1.3680089269091589
2018-06-12,420.2964003275156,237320.99956703186,237741.2959673594,0.003971282649136487,1.377412959673594
2018-06-13,420.2964003275156,239208.08172225952,239628.37812258705,0.007937544664039953,1.3962837812258706
2018-06-14,420.2964003275156,240708.56721878052,241128.86361910804,0.006261718700751651,1.4112886361910806
2018-06-15,420.2964003275156,239424.4076538086,239844.70405413612,-0.0053256152983842675,1.3984470405413614
2018-06-18,420.2964003275156,241636.9108428955,242057.20724322303,0.009224732302563154,1.4205720724322304
2018-06-19,420.2964003275156,240388.33410072327,240808.6305010508,-0.005158188662887642,1.408086305010508
2018-06-20,420.2964003275156,241964.75192260742,242385.04832293495,0.00654635101160661,1.4238504832293493
2018-06-21,420.2964003275156,238358.26558113098,238778.5619814585,-0.0148791617570051,1.387785619814585
2018-06-22,420.2964003275156,237206.2120771408,237626.50847746833,-0.004824777795921387,1.3762650847746833
2018-06-25,420.2964003275156,229943.85731983185,230364.15372015937,-0.030562056412984595,1.3036415372015937
2018-06-26,420.2964003275156,233516.39385604858,233936.6902563761,0.015508213749942046,1.3393669025637611
2018-06-27,420.2964003275156,229798.51275730133,230218.80915762886,-0.01589268059949356,1.3021880915762885
2018-06-28,420.2964003275156,232609.8596391678,233030.1560394953,0.012211629849677275,1.330301560394953
2018-06-29,420.2964003275156,234816.6847858429,235236.98118617042,0.009470126889075559,1.352369811861704
2018-07-02,464.4713656426611,235937.72622680664,236402.19759244932,0.004953372553938351,1.3640219759244934
2018-07-03,464.4713656426611,231692.49770355225,232156.96906919492,-0.017957652536602198,1.3215696906919492
2018-07-05,464.4713656426611,234285.58430480957,234750.05567045225,0.01116954021089267,1.3475005567045226
2018-07-06,464.4713656426611,237908.60851287842,238373.0798785211,0.015433539292339704,1.3837307987852108
2018-07-09,464.4713656426611,241270.11088562012,241734.5822512628,0.014101854011597137,1.4173458225126279
2018-07-10,464.4713656426611,241588.9201927185,242053.39155836118,0.0013188402922301723,1.4205339155836119
2018-07-11,464.4713656426611,241181.9118423462,241646.38320798887,-0.001681481708444399,1.4164638320798888
2018-07-12,464.4713656426611,244363.0996723175,244827.57103796018,0.013164640776904157,1.448275710379602
2018-07-13,464.4713656426611,243524.43510055542,243988.9064661981,-0.003425531561688566,1.439889064661981
2018-07-16,464.4713656426611,242701.16025352478,243165.63161916746,-0.0033742306523460996,1.4316563161916744
2018-07-17,464.4713656426611,243867.18681526184,244331.65818090452,0.0047951947566473585,1.4433165818090452
2018-07-18,464.4713656426611,243848.236120224,244312.70748586667,-7.756135729164448e-05,1.4431270748586669
2018-07-19,464.4713656426611,241453.70915603638,241918.18052167905,-0.009801074159542567,1.4191818052167906
2018-07-20,464.4713656426611,240926.38793945312,241390.8593050958,-0.002179750258728519,1.4139085930509578
2018-07-23,464.4713656426611,240810.04600906372,241274.5173747064,-0.0004819649373812851,1.412745173747064
2018-07-24,464.4713656426611,239910.72694969177,240375.19831533445,-0.0037273685972202264,1.4037519831533443
2018-07-25,464.4713656426611,243928.3600883484,244392.83145399106,0.016714008628236687,1.4439283145399107
2018-07-26,464.4713656426611,240957.89401054382,241422.3653761865,-0.012154473026610768,1.4142236537618649
2018-07-27,464.4713656426611,238371.28198051453,238835.7533461572,-0.01071405304971984,1.3883575334615719
2018-07-30,464.4713656426611,233643.44893455505,234107.92030019773,-0.01979533206281381,1.3410792030019771
2018-07-31,464.4713656426611,233158.37972831726,233622.85109395994,-0.00207198972856526,1.3362285109395993
2018-08-01,662.3319205750049,234295.62241363525,234957.95433421026,0.005714780185236856,1.3495795433421027
2018-08-02,662.3319205750049,236526.96752166748,237189.29944224248,0.009496784709226436,1.3718929944224247
2018-08-03,662.3319205750049,236862.0009613037,237524.3328818787,0.0014125149845463092,1.375243328818787
2018-08-06,662.3319205750049,239640.60680389404,240302.93872446904,0.011698194491812863,1.4030293872446906
2018-08-07,662.3319205750049,240822.31142425537,241484.64334483037,0.004917562084899352,1.4148464334483037
2018-08-08,662.3319205750049,240891.8469467163,241554.1788672913,0.0002879500803769641,1.415541788672913
2018-08-09,662.3319205750049,240273.67038345337,240936.00230402837,-0.0025591631913044477,1.4093600230402838
2018-08-10,662.3319205750049,239678.47705841064,240340.80897898565,-0.0024703378463616366,1.4034080897898566
2018-08-13,662.3319205750049,240219.69329833984,240882.02521891485,0.0022518699268276876,1.4088202521891486
2018-08-14,662.3319205750049,242488.71273040771,243151.04465098272,0.009419629505380334,1.4315104465098272
2018-08-15,662.3319205750049,239445.2801361084,240107.6120566834,-0.012516633842424296,1.401076120566834
2018-08-16,662.3319205750049,240488.99633026123,241151.32825083623,0.004346868411262417,1.4115132825083623
2018-08-17,662.3319205750049,241066.21725082397,241728.54917139898,0.0023936045666823613,1.4172854917139897
2018-08-20,662.3319205750049,242361.13145828247,243023.46337885747,0.00535689397010497,1.4302346337885745
2018-08-21,662.3319205750049,242773.37744140625,243435.70936198125,0.0016963217353260784,1.4343570936198127
2018-08-22,662.3319205750049,245144.40970230103,245806.74162287603,0.009739870404013473,1.4580674162287601
2018-08-23,662.3319205750049,247325.61274719238,247987.94466776738,0.008873650211912443,1.479879446677674
2018-08-24,662.3319205750049,251470.27865982056,252132.61058039556,0.016713174981876078,1.5213261058039556
2018-08-27,662.3319205750049,253922.43661499023,254584.76853556524,0.009725667574396413,1.5458476853556524
2018-08-28,662.3319205750049,254674.54648208618,255336.87840266118,0.0029542610558450644,1.553368784026612
2018-08-29,662.3319205750049,257466.99405670166,258129.32597727666,0.010936326910881311,1.5812932597727665
2018-08-30,662.3319205750049,255984.41801834106,256646.74993891607,-0.005743539726637326,1.5664674993891605
2018-08-31,662.3319205750049,256591.69771957397,257254.02964014898,0.0023662084221891533,1.5725402964014896
2018-09-04,238.47779387540504,260950.35741233826,261188.83520621367,0.015295408867137095,1.6118883520621368
2018-09-05,238.47779387540504,260190.83731269836,260429.31510657378,-0.002907934786110733,1.6042931510657379
2018-09-06,238.47779387540504,258531.32489013672,258769.80268401213,-0.006372218203939628,1.5876980268401213
2018-09-07,238.47779387540504,259046.71221733093,259285.19001120634,0.001991682653263771,1.5928519001120636
2018-09-10,238.47779387540504,262611.9991950989,262850.47698897426,0.013750445899412211,1.6285047698897426
2018-09-11,238.47779387540504,264761.6500682831,265000.12786215846,0.008178227020201989,1.6500012786215845
2018-09-12,238.47779387540504,267399.51348876953,267637.9912826449,0.009954196783854119,1.676379912826449
2018-09-13,238.47779387540504,267255.0061340332,267493.4839279086,-0.0005399358814635047,1.6749348392790857
2018-09-14,238.47779387540504,268297.50339889526,268535.98119277065,0.0038972809713115897,1.6853598119277065
2018-09-17,238.47779387540504,266048.25888442993,266286.7366783053,-0.008375952095785233,1.6628673667830531
2018-09-18,238.47779387540504,268154.14600372314,268392.6237975985,0.007908344011280155,1.6839262379759852
2018-09-19,238.47779387540504,266345.76920700073,266584.2470008761,-0.006737803636832296,1.6658424700087613
2018-09-20,238.47779387540504,267930.5978012085,268169.0755950839,0.005944944654597606,1.681690755950839
2018-09-21,238.47779387540504,267841.93033218384,268080.4081260592,-0.00033064017104844634,1.6808040812605922
2018-09-24,238.47779387540504,269440.5837059021,269679.0614997775,0.00596333534738025,1.696790614997775
2018-09-25,238.47779387540504,270615.8444824219,270854.32227629726,0.004357997873412067,1.7085432227629727
2018-09-26,238.47779387540504,269345.82914733887,269584.30694121425,-0.004688924010551543,1.6958430694121427
2018-09-27,238.47779387540504,271640.54136657715,271879.01916045253,0.008512039314434894,1.7187901916045254
2018-09-28,238.47779387540504,270211.7621498108,270450.2399436862,-0.0052552021894825,1.7045023994368615
2018-10-01,229.63070971126217,271867.6294670105,272097.2601767218,0.00608991965907868,1.720972601767218
2018-10-02,229.63070971126217,268581.09731674194,268810.72802645323,-0.01207851982094199,1.6881072802645325
2018-10-03,229.63070971126217,267470.3735923767,267700.004302088,-0.004131991801517465,1.6770000430208798
2018-10-04,229.63070971126217,265655.2998390198,265884.93054873106,-0.0067802529853854265,1.6588493054873106
2018-10-05,229.63070971126217,264304.58766555786,264534.21837526915,-0.005080062907944161,1.6453421837526916
2018-10-08,229.63070971126217,262157.09230041504,262386.7230101263,-0.008118024875316432,1.623867230101263
2018-10-09,229.63070971126217,263442.4527130127,263672.083422724,0.004898725049239827,1.6367208342272397
2018-10-10,229.63070971126217,251320.4120979309,251550.04280764217,-0.045973925103203084,1.5155004280764217
2018-10-11,229.63070971126217,246561.20821380615,246790.8389235174,-0.01891951132667491,1.4679083892351743
2018-10-12,229.63070971126217,252969.86767578125,253199.4983854925,0.02596797956491903,1.5319949838549252
2018-10-15,229.63070971126217,250412.49042510986,250642.12113482112,-0.010100246118093903,1.5064212113482114
2018-10-16,229.63070971126217,257206.74154663086,257436.37225634212,0.027107379600679105,1.574363722563421
2018-10-17,229.63070971126217,255721.76428985596,255951.39499956722,-0.005768327310393562,1.5595139499956723
2018-10-18,229.63070971126217,251317.64520263672,251547.27591234798,-0.01720685713483483,1.5154727591234796
2018-10-19,229.63070971126217,248173.15817642212,248402.78888613338,-0.012500580715134824,1.4840278888613336
2018-10-22,229.63070971126217,250582.42978286743,250812.0604925787,0.009699052161405985,1.5081206049257867
2018-10-23,229.63070971126217,248820.28184890747,249049.91255861873,-0.0070257703337679445,1.4904991255861875
2018-10-24,229.63070971126217,238023.7903175354,238253.42102724666,-0.043350714001278434,1.3825342102724667
2018-10-25,229.63070971126217,240217.8963546753,240447.52706438655,0.009209127103736225,1.4044752706438657
2018-10-26,229.63070971126217,234019.70418930054,234249.3348990118,-0.025777733050733387,1.3424933489901179
2018-10-29,229.63070971126217,230729.26678848267,230958.89749819392,-0.014046731028015236,1.3095889749819394
2018-10-30,229.63070971126217,233847.57048034668,234077.20119005794,0.013501552551741014,1.3407720119005795
2018-10-31,229.63070971126217,237954.20007705688,238183.83078676814,0.017543911050849514,1.3818383078676812
2018-11-01,30.762422927909938,242239.73620033264,242270.49862326056,0.017157620746099056,1.4227049862326058
2018-11-02,30.762422927909938,240875.08554840088,240905.8479713288,-0.005632756194776545,1.4090584797132881
2018-11-05,30.762422927909938,242397.31683921814,242428.07926214606,0.006318780982844441,1.4242807926214605
2018-11-06,30.762422927909938,243441.03129196167,243471.7937148896,0.004305253978500234,1.4347179371488958
2018-11-07,30.762422927909938,248347.5638885498,248378.32631147772,0.020152365585041077,1.4837832631147774
2018-11-08,30.762422927909938,248344.8201789856,248375.5826019135,-1.1046493488153786e-05,1.4837558260191352
2018-11-09,30.762422927909938,248602.75359535217,248633.5160182801,0.0010384813743145038,1.4863351601828008
2018-11-12,30.762422927909938,243489.39938545227,243520.1618083802,-0.020565828339586978,1.435201618083802
2018-11-13,30.762422927909938,244056.64545059204,244087.40787351996,0.002329359757842653,1.4408740787351997
2018-11-14,30.762422927909938,244164.75085639954,244195.51327932745,0.00044289628354565735,1.4419551327932747
2018-11-15,30.762422927909938,246189.06933784485,246219.83176077277,0.008289744779748531,1.4621983176077276
2018-11-16,30.762422927909938,247194.92092514038,247225.6833480683,0.004085176974179872,1.472256833480683
2018-11-19,30.762422927909938,244970.30710983276,245001.06953276068,-0.008998311927711722,1.4500106953276068
2018-11-20,30.762422927909938,240768.9560661316,240799.7184890595,-0.017148296747085734,1.4079971848905952
2018-11-21,30.762422927909938,237540.84379577637,237571.60621870428,-0.013405797525888219,1.3757160621870428
2018-11-23,30.762422927909938,237402.13659095764,237432.89901388556,-0.0005838543040831423,1.3743289901388556
2018-11-26,30.762422927909938,240383.29871177673,240414.06113470465,0.012555808959923143,1.4041406113470467
2018-11-27,30.762422927909938,242932.34023284912,242963.10265577704,0.010602713955421006,1.4296310265577703
2018-11-28,30.762422927909938,246717.8841896057,246748.64661253363,0.015580735985742722,1.4674864661253362
2018-11-29,30.762422927909938,246585.9654197693,246616.7278426972,-0.0005346281393938668,1.4661672784269721
2018-11-30,30.762422927909938,249332.3589668274,249363.1213897553,0.011136282486116977,1.4936312138975532
