method,price,standard_error,variance_reduction_ratio,delta,gamma,vega,theta,rho
black_scholes,9.925053717274437,0.0,,0.6179114221889526,0.019069390773026208,38.138781546052414,-5.888521694670074,51.86608850162082
binomial_tree,9.921075567627309,,,,,,,
monte_carlo_plain,9.816497519566587,0.063738225527996,1.0,,,,,
monte_carlo_antithetic_control,9.918198607071497,0.012599638530854398,50.97484376920757,,,,,
