date,ticker,adjusted_close,daily_return,volatility_21d,sma_20,sma_60,ema_20,rsi_14,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,zscore_20,return_21d,return_63d,return_126d,pe_ratio,pb_ratio,market_cap,roe,revenue_growth,future_21d_return
2023-01-03,AAPL,122.87672424316406,-0.0374047524743244,0.3064777516942913,133.829248046875,139.89118296305338,132.4379782208064,32.34007847058621,-4.626242164671339,-3.755857302852407,-0.8703848618189323,133.829248046875,146.81182880024775,120.84666729350224,-1.6872644987577787,-0.1566990952121644,-0.1205514692351602,-0.1137927706452024,35.475918,42.03125,4514709504000.0,1.4875101,0.164,0.2058850228037307
2023-01-03,ABBV,142.12356567382812,0.0047648122338199,0.1359407207976805,142.80098495483398,134.97554931640624,141.588479078102,55.69815318137973,1.2465886093222591,1.799931208069685,-0.5533425987474256,142.80098495483398,145.4553030623051,140.14666684736287,-0.51042810513112,0.0046403977570079,0.1858898333947654,0.0755969145360861,75.05949,-78.880615,468215398400.0,,0.102,-0.0995392523896283
2023-01-03,ABT,101.48419952392578,-0.0019126259348625,0.2166357238815317,100.00841255187989,96.04723192850749,99.95210262492463,58.47260876797934,1.148137036544611,1.1825503814323592,-0.0344133448877481,100.00841255187989,103.66407017658692,96.35275492717284,0.8073988997611165,0.0152876243364568,0.1062808252342806,0.0117696804008762,37.747574,3.9489453,201831907328.0,0.10576,0.13,0.0290035053316721
2023-01-03,ACN,252.92694091796875,0.0128165827053212,0.3551197452293477,258.35121994018556,259.08054682413734,256.0441143872238,45.73181365671184,-4.8594368594449975,-4.163981066505836,-0.6954557929391614,258.35121994018556,282.3568409251741,234.34559895519703,-0.4519174093108264,-0.1075520245856581,0.0248093608844517,-0.0099668559870778,14.810552,3.5548053,113380630528.0,0.24406,0.056,0.0926626857675818
2023-01-03,ADBE,336.9200134277344,0.0011589298126533,0.3001105997214857,335.03600006103517,321.8341649373372,334.7800352373837,52.42077655144697,2.018147346836656,2.656971696479196,-0.6388243496425399,335.03600006103517,344.1257768085419,325.94622331352844,0.4145345741777375,-0.0208944007145925,0.1811808475764393,-0.1051023342798762,15.749428,9.53684,109431742464.0,0.62953997,0.127,0.1641635858786914
2023-01-03,AMD,64.0199966430664,-0.0115794355237207,0.4153437481340017,67.0714994430542,65.87633317311605,66.52655447524472,42.223833205352605,-1.6808133131443697,-1.285876540657501,-0.3949367724868686,67.0714994430542,73.37444335852958,60.76855552757881,-0.9682785824876368,-0.1737223300295929,-0.0316140364239824,-0.148670222857464,120.11421,11.48916,772568776704.0,0.10196,0.501,0.3794127177318125
2023-01-03,AMGN,234.3243865966797,-0.0037698200832265,0.1266505068288978,242.2524284362793,241.3652381896973,240.47203975832085,33.26212857072487,-3.599169614484083,-2.6267159856091498,-0.9724536288749333,242.2524284362793,257.455576713744,227.04928015881455,-1.042947381017283,-0.084948198430371,0.1432569118889335,0.0760210516860218,27.304537,20.320536,237677527040.0,0.91473,0.095,-0.0577868280539488
2023-01-03,AMZN,85.81999969482422,0.0216666630336217,0.3473423036557667,87.14349975585938,97.18100001017253,87.25815691382856,43.38040888550448,-3.075117889985279,-3.292373027464008,0.217255137478729,87.14349975585938,93.1998161588912,81.08718335282755,-0.437064371462696,-0.1013612597400605,-0.2594062674410972,-0.2438766546711522,20.80692,5.055712,2789664358400.0,0.30558002,0.196,0.3156607325054434
2023-01-03,AVGO,52.72470474243164,-0.0101048132025129,0.2851230495542334,52.158823585510255,47.68815224965413,52.02424412964799,56.70452456062387,1.0343293140369028,1.2235819184414254,-0.1892526044045226,52.158823585510255,54.92660885114697,49.39103831987354,0.4089053901305504,0.0133421459827844,0.2218098584477339,0.1815618438036514,61.306156,19.991861,1752930451456.0,0.37280998,0.479,0.0944749344588291
2023-01-03,BAC,30.64094352722168,0.0117753734432659,0.2547938597775178,29.860064888000487,31.52786900202433,30.396240138052946,49.927886666309874,-0.4953644887034727,-0.6890190678216884,0.1936545791182157,29.860064888000487,30.963361535176084,28.75676824082489,1.4155370474844051,-0.0831737534880328,0.0841397676756443,0.0860431773154206,14.247113,1.5680443,431382659072.0,0.111990005,0.168,0.0781856269894967
2023-01-03,CAT,225.5866241455078,-0.0028386367286246,0.2185541398050461,222.0259391784668,208.28728713989256,222.98583424987504,57.34053016136722,3.438716240534887,3.679572129271573,-0.2408558887366849,222.0259391784668,230.70663529255629,213.34524306437729,0.8203685327174935,0.0135346639591624,0.4044176704919768,0.393608180485284,35.623924,19.621738,380564832256.0,0.56972003,0.24,0.0300900734541866
2023-01-03,COP,100.37242889404295,-0.0413558023265676,0.3572592490375796,100.90070877075196,107.3414306640625,102.7732228104672,44.279759785796486,-1.1953003663382449,-1.8029917332872176,0.6076913669489732,100.90070877075196,105.98689338177356,95.81452415973033,-0.2077313023849788,-0.0750385704820367,0.0390176098120553,0.3755321999738821,17.863575,2.4793646,162024374272.0,0.1418,0.355,-0.0160892945166146
2023-01-03,COST,433.1345825195313,-0.0070537679363869,0.1832514187249581,448.0919723510742,466.63868153889973,449.013727791149,32.22457015996601,-11.783047197747408,-11.042696600667728,-0.7403505970796811,448.0919723510742,473.07204285417345,423.111901847975,-1.1975458459724704,-0.1003851248993769,-0.0494668612253285,-0.0683611044850225,47.67304,25.423574,420302618624.0,0.29152,0.215,0.1567712401519796
2023-01-03,CRM,132.48789978027344,0.0165170779770265,0.351463107732526,129.0936153411865,142.73707745869953,131.74037264610487,48.10603437984816,-3.516968212898206,-4.586871508763866,1.06990329586566,129.0936153411865,133.54714966887522,124.64008101349786,1.5243104417019244,-0.0831293021574118,-0.0887085093770571,-0.2173054050804002,24.237543,5.0039473,171310235648.0,0.16908,0.133,0.2957411882234695
2023-01-03,CSCO,43.28430938720703,0.0062974282604189,0.1623601284524601,43.45856056213379,41.36386756896973,43.11989827342172,53.16463154373441,0.1021518545188939,0.2705490811637998,-0.1683972266449058,43.45856056213379,44.868324858781065,42.04879626548651,-0.2472061114629824,-0.0406243442020144,0.1718408835113909,0.1531294201243951,33.345345,8.719962,437656911872.0,0.27319,0.176,0.0370056656010431
2023-01-03,CVX,149.22036743164062,-0.0306423025405615,0.2806116649718533,148.93475952148438,150.0823071797689,150.62472048059186,47.655389095220734,0.117634343075025,-0.3434198908856204,0.4610542339606455,148.93475952148438,154.72790192784126,143.1416171151275,0.0986020677975545,-0.0465778783740913,0.1555784902040047,0.2402148285687146,19.756496,2.1205578,402658328576.0,0.12231,0.535,-0.0286225832385242
2023-01-03,DIS,86.26203918457031,0.0240562053847794,0.3506022559253643,87.18069419860839,92.35638656616212,86.93526516385624,45.77233691328625,-2.3617338265486296,-2.4061490776228167,0.044415251074187,87.18069419860839,93.91528148278282,80.44610691443397,-0.2728170191503266,-0.0975758541753248,-0.0840111242065885,-0.08448239927073,22.222681,1.6946007,186102300672.0,0.0801,0.068,0.2724513020696522
2023-01-03,GE,52.000919342041016,0.0142023138735842,0.3004432945813745,50.3528413772583,48.827487564086915,50.576894252215254,58.40595746898084,0.1910468685452926,0.0324271369205242,0.1586197316247683,50.3528413772583,52.99272878324591,47.71295397127069,1.2485971644431952,-0.0023210110600242,0.337454847001523,0.3730076162544691,41.08137,20.491148,361455648768.0,0.48231998,0.211,0.2653226894402023
2023-01-03,GOOGL,88.33670043945312,0.0100872035202446,0.2792906560568396,90.5129005432129,93.72145016988118,89.93978684803494,43.469267423599426,-2.1239142109925524,-1.9562186942902744,-0.167695516702278,90.5129005432129,97.62569008642782,83.40011099999796,-0.6119118499255191,-0.1175363843379938,-0.0965125608393587,-0.2131587057534339,17.301556,6.7749925,4217126256640.0,0.48676,0.242,0.2089317861395825
2023-01-03,GS,318.01165771484375,0.008270628094785,0.2044785211414315,323.60731506347656,321.0055974324544,322.8889933061716,42.089757091283715,-4.946419373888887,-3.866196968537301,-1.080222405351586,323.60731506347656,340.856702472619,306.3579276543341,-0.6487949068460284,-0.0979389970409445,0.1649355560919065,0.1814318733823572,16.055614,2.8705506,302608613376.0,0.16902,0.425,0.0671538680188081
2023-01-03,HD,288.6025390625,0.000158110157409,0.2117255619035923,293.31334686279297,278.45600204467775,291.0531725190321,48.62471420278374,1.0707244376590666,2.6157416552813375,-1.545017217622271,293.31334686279297,303.17943136237227,283.44726236321367,-0.954949818338542,-0.0341214983701377,0.120271814578144,0.1274621994168794,23.5021,20.075972,334642315264.0,1.0429599,0.057,0.0755912490821544
2023-01-03,HON,195.9351501464844,0.0,0.1725131032341357,194.87089157104492,186.81076838175457,194.9650702730069,54.09341024562369,0.962349603938975,1.2170705701063411,-0.2547209661673664,194.87089157104492,198.43617428286413,191.3056088592257,0.5970121650725482,-0.014213852266494,0.2445067778718099,0.257625812226901,8.303846,3.6914186,68427345920.0,0.46577,0.043,-0.0322912751738481
2023-01-03,IBM,124.33685302734376,0.0046846420308377,0.2242053005266076,126.4858325958252,121.53659731547036,125.4186248077022,46.75673363640354,-0.5488304589446216,0.0114513468553258,-0.5602818057999474,126.4858325958252,133.00412846650983,119.96753672514056,-0.6593685254903081,-0.0510191318541797,0.1788139166339541,0.0539341032181661,20.930727,6.4449787,222042226688.0,0.34460998,0.011,-0.0364538309930367
2023-01-03,JNJ,160.8705596923828,0.0087177222303973,0.1180800471350733,160.0124656677246,155.98146591186523,159.7037781300393,56.63501716175914,0.6570434063862649,0.8469993842531086,-0.1899559778668437,160.0124656677246,162.0959587542003,157.9289725812489,0.8237071005689882,-0.0030770601154344,0.0988976432120525,0.013501252791672,31.386759,7.658995,651250958336.0,0.25742,0.066,-0.0709916793554054
2023-01-03,JPM,123.73519897460938,0.0076062742116866,0.1747544120773741,120.97331352233888,117.19357922871907,121.314484351098,60.47609858231464,0.587195769653448,0.4738514126911378,0.1133443569623101,120.97331352233888,123.7893629930235,118.15726405165424,1.9615319127181632,-0.0082207465933199,0.2654684803293639,0.2105216174224375,15.06341,2.6433194,934565052416.0,0.17789,0.304,0.0358664514354842
2023-01-03,KO,56.759891510009766,-0.0103757385884799,0.1356956999871177,57.25986785888672,54.49445145924886,57.00801381593452,50.402818542749365,0.4669871113588684,0.627989717545482,-0.1610026061866136,57.25986785888672,58.04911308123315,56.47062263654029,-1.26697339361909,-0.0131681572896651,0.119089993494968,0.0091445354904773,27.357357,10.843947,391962198016.0,0.42054,0.067,-0.042414527868144
2023-01-03,LIN,304.11480712890625,-0.0240049957234499,0.1872649468717687,315.99468688964845,300.9190175374349,313.8268022465745,39.11661545135209,-0.1607499320518286,1.8218650051963232,-1.982614937248152,315.99468688964845,326.0926687202103,305.89670505908657,-2.3529215956375293,-0.0560695716749848,0.1582223604540451,0.1853369001640281,31.45613,5.751138,224760102912.0,0.18400998,0.093,0.0430341123951529
2023-01-03,LLY,354.7093200683594,-0.0023233113439773,0.2014250779443752,354.64418640136716,345.98633931477866,354.1343010358917,52.04400011966608,1.4615976838924212,1.7730362155967987,-0.3114385317043775,354.64418640136716,362.7002048310419,346.58816797169237,0.0161701881793831,-0.0144195363298086,0.1382619598340384,0.1223271367287601,42.21251,33.035107,1119492112384.0,1.02286,0.477,-0.093947792824901
